Year,Units,Series,sex,federal state,GeoCode,Value
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.8
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.9
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.5
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.5
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,67.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,70.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,72.8
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,74.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.6
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.3
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.0
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.5
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.5
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.7
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.3
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.4
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.4
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.9
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.2
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.7
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.0
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.8
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,64.7
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,68.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,69.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.6
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.1
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.2
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.6
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.0
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.8
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.8
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.1
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.2
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.4
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.4
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.2
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.3
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.5
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.8
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.7
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,67.5
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.1
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.0
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.8
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.3
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.5
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.8
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,31.9
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,36.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,39.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,44.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.3
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.1
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.1
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.7
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.3
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.5
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.1
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.7
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,42.0
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.3
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.5
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.1
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.9
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.9
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,27.9
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,37.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.7
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.8
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,50.8
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.8
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.0
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.9
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.9
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,47.2
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.6
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,56.1
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.2
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.2
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.1
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.8
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.0
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.3
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.6
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.5
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.3
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.3
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.0
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.7
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.1
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,35.7
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,36.2
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.7
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.6
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.5
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.2
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.6
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.4
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.3
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.3
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.4
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.1
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.3
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.1
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,62.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.2
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,68.6
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,69.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,40.6
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,43.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.7
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,49.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.8
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.3
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,57.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.8
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,60.4
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,61.5
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,33.9
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,36.0
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,38.0
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,41.9
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,45.0
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,46.5
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.2
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,52.3
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,54.1
2019,percentage,"employment rate, older people (60 to 64-year-olds)",,,,55.6
2020,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2021,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2000,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2001,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2002,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2003,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2004,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2005,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2006,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2007,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2008,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2009,percentage,"employment rate, older people (60 to 64-year-olds)",,,,
2010,percentage,"employment rate, older people (60 to 64-year-olds)",,,,48.0
2011,percentage,"employment rate, older people (60 to 64-year-olds)",,,,51.5
2012,percentage,"employment rate, older people (60 to 64-year-olds)",,,,53.9
2013,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.0
2014,percentage,"employment rate, older people (60 to 64-year-olds)",,,,59.4
2015,percentage,"employment rate, older people (60 to 64-year-olds)",,,,58.9
2016,percentage,"employment rate, older people (60 to 64-year-olds)",,,,63.1
2017,percentage,"employment rate, older people (60 to 64-year-olds)",,,,65.6
2018,percentage,"employment rate, older people (60 to 64-year-olds)",,,,66.8
