Year,Units,Series,federal state,GeoCode,county,Value
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",74.9
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",75.6
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",77.1
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",79.6
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",74.5
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",68.4
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",67.2
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",68.9
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",64.8
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12052,"cottbus, stadt",
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",53.6
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",59.0
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",59.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",60.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",64.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",65.8
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",62.4
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.5
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",62.3
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",64.3
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.3
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",53.6
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",59.0
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",59.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",60.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",64.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",65.8
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",62.4
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.5
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",62.3
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",64.3
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",63.3
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12053,"frankfurt (oder), stadt",
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",69.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",70.6
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",73.2
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",76.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",77.4
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",79.2
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",77.1
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",74.8
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",76.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",69.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",70.6
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",73.2
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",76.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",77.4
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",79.2
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",77.1
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",74.8
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",76.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",75.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12054,"potsdam, stadt",
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,61.6
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,63.1
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.8
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,67.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,67.7
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,68.2
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.0
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.1
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.9
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,71.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,61.6
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,63.1
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.8
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,67.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,67.7
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,68.2
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,66.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.0
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.1
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,69.9
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,71.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12060,barnim,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,54.0
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,54.3
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,56.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,58.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,61.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,61.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,64.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,63.7
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,63.6
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,65.3
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,66.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,68.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,54.0
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,54.3
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,56.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,58.6
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,61.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,61.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,64.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,63.7
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,63.6
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,65.3
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,66.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,68.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12061,dahme-spreewald,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,41.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,45.9
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,52.8
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,55.2
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,58.0
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,59.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,62.3
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,61.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,63.8
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,64.6
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,66.7
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,67.8
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,41.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,45.9
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,52.8
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,55.2
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,58.0
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,59.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,62.3
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,61.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,63.8
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,64.6
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,66.7
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,67.8
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12062,elbe-elster,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,48.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,48.8
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,52.5
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,50.8
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,53.8
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.5
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,58.4
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.5
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,55.8
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,59.9
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,60.0
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,48.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,48.8
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,52.5
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,50.8
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,53.8
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.5
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,58.4
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.5
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,56.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,55.8
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,59.9
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,60.0
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12063,havelland,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,54.0
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,53.3
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,56.2
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,59.0
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,60.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,58.0
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,58.5
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,59.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,61.4
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,61.0
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,64.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,65.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,54.0
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,53.3
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,56.2
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,59.0
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,60.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,58.0
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,58.5
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,59.9
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,61.4
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,61.0
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,64.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,65.1
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12064,märkisch-oderland,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,44.9
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,46.8
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,49.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,53.7
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,56.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,55.4
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,59.7
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,59.6
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,60.0
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,60.9
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,61.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,62.9
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,44.9
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,46.8
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,49.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,53.7
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,56.3
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,55.4
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,59.7
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,59.6
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,60.0
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,60.9
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,61.5
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,62.9
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12065,oberhavel,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,45.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,46.5
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,50.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,50.7
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,55.0
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,55.4
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,59.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,58.8
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,58.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,61.5
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,63.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,64.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
